DateTime,AddedIPs,RemovedIPs
1530212904,12,11
1530217116,13,7
1530221094,13,10
1530224888,8,8
1530227774,14,13
1530232410,7,20
1530234503,8,13
1530239476,11,17
1530241898,11,15
1530245776,11,6
1530249622,8,10
1530254659,5,21
1530256577,14,20
1530260418,14,12
1530264266,16,17
1530268096,12,17
1530270090,0,15
1530271984,14,0
1530273910,13,13
1530277708,9,19
1530281542,8,12
1530286500,11,18
1530288518,19,14
1530292332,16,16
1530296804,9,13
1530301500,1,12
1530303392,12,14
1530307213,9,14
1530311059,8,9
1530314895,5,13
1530317777,9,9
1530321631,7,9
1530325463,8,11
1530327655,0,10
1530329539,9,0
1530331466,6,11
1530335303,5,11
1530339161,7,0
1530341089,0,4
1530342993,9,11
1530346833,11,9
1530350662,8,20
1530354567,13,13
1530358351,15,15
1530360283,15,12
1530364128,23,9
1530368180,11,9
1530372010,14,11
1530373941,1,0
1530375872,11,19
1530379691,22,17
1530382574,13,10
1530386409,16,1
1530390271,12,8
1530394344,7,12
1530396262,6,6
1530400648,11,6
1530404754,5,9
1530408639,11,8
1530410550,10,6
1530414678,4,9
1530418584,9,8
1530422417,14,5
1530426262,8,7
1530430126,11,7
1530433000,15,8
1530436828,7,10
1530440731,12,13
1530444547,11,15
1530448348,16,15
1530450259,13,23
1530452790,10954,0
1530454812,10,10964
1530458676,16,16
1530460587,0,1
1530462747,19,10
1530464657,10,18
1530468506,15,16
1530472590,15,12
1530476425,9,16
1530480268,11,9
1530484099,6,8
1530486981,3,11
1530490811,6,4
1530494690,6,11
1530498515,12,9
1530500683,9,6
1530504502,15,7
1530508349,14,15
1530512191,12,7
1530516025,10,10
1530519873,11,15
1530523699,20,8
1530528097,18,13
1530529952,18,11
1530533787,19,18
1530537616,20,12
1530541714,20,10
1530545542,17,15
1530547471,10,19
1530551292,11,11
1530555134,14,14
1530558987,11,16
1530562809,9,8
1530566924,13,12
1530569017,9,6
1530572912,6,5
1530576776,7,6
1530580655,8,6
1530584652,9,10
1530588749,15,10
1530590667,12,13
1530594749,12,11
1530598576,13,15
1530602416,10,12
1530606271,7,10
1530610097,12,20
1530612105,0,16
1530614513,14,0
1530616366,16,20
1530620438,15,19
1530624271,14,15
1530626175,1,0
1530628113,22,21
1530631968,14,20
1530633806,10,11
1530638332,13,11
1530642263,6,14
1530646034,12,12
1530649831,5,9
1530651761,13,12
1530655949,10,11
1530659782,13,6
1530663863,7,7
1530667719,10,8
1530671606,15,9
1530673715,7,14
1530677552,15,13
1530681378,13,12
1530685217,15,9
1530689059,14,11
1530692912,16,8
1530695795,14,12
1530700251,8,14
1530702265,11,14
1530706378,14,15
1530710269,15,14
1530712415,0,1
1530714450,8,21
1530716809,10,16
1530720755,27,10
1530724593,18,14
1530728896,13,7
1530731788,14,9
1530735619,19,7
1530739503,10,13
1530743310,15,11
1530745341,1,1
1530747169,7,12
1530749069,7,8
1530752902,5,9
1530756736,6,14
1530760824,7,7
1530764669,6,14
1530768494,12,11
1530771393,7,14
1530775272,16,18
1530779056,15,14
1530782953,5,15
1530786742,8,6
1530788674,18,14
1530792752,15,13
1530796595,11,14
1530800425,14,7
1530804275,17,11
1530808099,19,24
1530811944,16,18
1530813920,11,13
1530817724,9,15
1530821709,14,17
1530826352,13,12
1530828269,11,15
1530833254,3,10
1530836193,7,5
1530840025,8,6
1530843865,11,5
1530847714,6,10
1530851558,13,4
1530853465,5,13
1530857322,13,7
1530861163,12,17
1530865005,8,14
